GroupingNum,Grouping1 to center_x,Grouping1 to center_y,Grouping2 to center_x,Grouping2 to center_y,Grouping3 to center_x,Grouping3 to center_y,Equip_Output
1,3.74025974025974,45.97402597402598,,,,,"2,11"
1,7.870129870129871,41.84415584415584,,,,,"2,11"
1,7.597402597402597,45.74025974025975,,,,,"2,11"
1,5.6103896103896105,40.44155844155844,,,,,"2,11"
1,2.571428571428571,40.5974025974026,,,,,"2,11"
1,0.7402597402597397,42.66233766233766,,,,,"2,11"
1,0.6623376623376629,46.05194805194805,,,,,"2,11"
1,4.402597402597403,42.97402597402598,,,,,"2,11"
1,5.2987012987013,47.103896103896105,,,,,"2,11"
1,2.2597402597402603,47.2987012987013,,,,,"2,11"
1,9.467532467532468,46.75324675324676,,,,,"1,11"
1,14.454545454545451,46.87012987012987,,,,,"1,11"
1,9.506493506493506,44.02597402597403,,,,,"1,11"
1,9.311688311688313,41.25974025974026,,,,,"1,11"
1,11.454545454545451,45.42857142857143,,,,,"1,11"
1,14.025974025974026,42.38961038961039,,,,,"1,11"
1,11.181818181818183,42.0,,,,,"1,11"
1,15.7012987012987,45.31168831168832,,,,,"1,11"
1,15.428571428571429,41.25974025974026,,,,,"1,11"
1,12.623376623376622,40.44155844155844,,,,,"1,11"
1,12.857142857142858,44.961038961038966,,,,,"1,11"
1,17.493506493506494,46.83116883116883,,,,,"0,11"
1,18.233766233766232,43.98701298701299,,,,,"0,11"
1,17.064935064935064,40.63636363636364,,,,,"0,11"
1,19.32467532467533,41.961038961038966,,,,,"0,11"
1,16.98701298701299,43.83116883116883,,,,,"0,11"
1,19.20779220779221,47.57142857142858,,,,,"0,11"
1,19.48051948051948,45.11688311688312,,,,,"0,11"
1,18.467532467532468,40.51948051948053,,,,,"0,11"
1,22.44155844155844,46.83116883116883,,,,,11
1,25.75324675324676,47.142857142857146,,,,,11
1,25.5974025974026,39.85714285714286,,,,,11
1,27.19480519480519,45.81818181818182,,,,,11
1,27.11688311688312,42.35064935064936,,,,,11
1,22.63636363636364,40.324675324675326,,,,,11
1,21.07792207792208,45.07792207792208,,,,,11
1,20.92207792207792,41.922077922077925,,,,,11
1,22.63636363636364,44.57142857142858,,,,,11
1,25.909090909090907,45.0,,,,,11
1,25.83116883116883,42.03896103896104,,,,,11
1,22.48051948051948,43.01298701298702,,,,,11
1,24.662337662337663,44.18181818181819,,,,,11
1,24.545454545454547,42.935064935064936,,,,,11
1,28.870129870129876,46.71428571428572,,,,,"3,11"
1,30.77922077922078,44.76623376623377,,,,,"3,11"
1,30.506493506493506,41.493506493506494,,,,,"3,11"
1,28.75324675324676,44.80519480519481,,,,,"3,11"
1,28.714285714285715,41.64935064935065,,,,,"3,11"
1,29.49350649350649,40.55844155844156,,,,,"3,11"
1,30.11688311688312,46.87012987012987,,,,,"3,11"
1,29.532467532467532,44.61038961038961,,,,,"3,11"
1,29.766233766233768,43.05194805194805,,,,,"3,11"
1,33.77922077922078,46.83116883116883,,,,,"4,11"
1,36.62337662337662,47.02597402597403,,,,,"4,11"
1,38.493506493506494,44.33766233766234,,,,,"4,11"
1,38.8051948051948,41.68831168831169,,,,,"4,11"
1,36.74025974025974,40.05194805194805,,,,,"4,11"
1,33.857142857142854,40.324675324675326,,,,,"4,11"
